# Ca I 4227-A absolute cross sections recovered from Blouin et al. 2019, Fig. 5 vector paths
# T=4000 K; original profile calculation covers n_He=1e21--1e23 cm^-3
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
5.00000000e+21 3754.17550623 3.4671767433e-17
5.00000000e+21 3769.37319252 3.7909799641e-17
5.00000000e+21 3781.67791804 4.1444507151e-17
5.00000000e+21 3793.57762609 4.5052767707e-17
5.00000000e+21 3804.37801299 4.8023363520e-17
5.00000000e+21 3817.18418307 5.1930937318e-17
5.00000000e+21 3829.46962415 5.6584967296e-17
5.00000000e+21 3843.78013285 6.2264096623e-17
5.00000000e+21 3873.67406088 7.5514649621e-17
5.00000000e+21 3888.46672970 8.3185572059e-17
5.00000000e+21 3905.67019918 9.2923859240e-17
5.00000000e+21 3928.08100298 1.0757036991e-16
5.00000000e+21 3960.77145483 1.3325080879e-16
5.00000000e+21 4001.17646874 1.7451659095e-16
5.00000000e+21 4062.27579443 2.6671682756e-16
5.00000000e+21 4083.78013127 3.1296674362e-16
5.00000000e+21 4105.67020115 3.7270784847e-16
5.00000000e+21 4121.46576403 4.2653234634e-16
5.00000000e+21 4136.87559881 4.9165069472e-16
5.00000000e+21 4154.17550524 5.8793284758e-16
5.00000000e+21 4169.68177205 7.0657725097e-16
5.00000000e+21 4179.07425235 8.0227214238e-16
5.00000000e+21 4188.37029571 9.2962395704e-16
5.00000000e+21 4192.88331649 1.0113976892e-15
5.00000000e+21 4201.27290274 1.2193670288e-15
5.00000000e+21 4208.27386684 1.4658395147e-15
5.00000000e+21 4220.17357489 2.0013383365e-15
5.00000000e+21 4223.37512110 2.1244714178e-15
5.00000000e+21 4225.57376834 2.1867337239e-15
5.00000000e+21 4228.46672911 2.2405783682e-15
5.00000000e+21 4231.66827040 2.2474014401e-15
5.00000000e+21 4235.46769321 2.1791910285e-15
5.00000000e+21 4239.67212855 2.0305937084e-15
5.00000000e+21 4244.47444541 1.8102688776e-15
5.00000000e+21 4251.37897748 1.4827516468e-15
5.00000000e+21 4264.78302415 1.0012446464e-15
5.00000000e+21 4276.77916915 7.4128973687e-16
5.00000000e+21 4290.27965278 5.4716112824e-16
5.00000000e+21 4306.24879035 3.8214913332e-16
5.00000000e+21 4364.14657475 1.0019367976e-16
5.00000000e+21 4404.53230423 4.1951654161e-17
5.00000000e+21 4418.74638090 3.1723459486e-17
5.00000000e+21 4442.21793206 2.0745636247e-17
5.00000000e+21 4474.04050060 1.2220664625e-17
5.00000000e+21 4499.86499418 8.2304990778e-18
5.00000000e+21 4514.38765629 6.6996238492e-18
5.00000000e+21 4538.36065201 4.8981942671e-18
5.00000000e+21 4568.77530903 3.3281958771e-18
5.00000000e+21 4583.52940899 2.7204067769e-18
5.00000000e+21 4604.68659153 1.9933328653e-18
5.00000000e+21 4628.06171559 1.4080544267e-18
5.00000000e+21 4644.06942696 1.1294867797e-18
5.00000000e+21 4661.21504313 9.1673730195e-19
5.00000000e+21 4678.41851261 7.6333131947e-19
5.00000000e+21 4692.43972523 6.6977721424e-19
5.00000000e+21 4707.59883773 5.9184621486e-19
5.00000000e+21 4728.23529127 5.0760070204e-19
5.00000000e+21 4744.60944630 4.5340112136e-19
5.00000000e+21 4753.34618686 4.3127461190e-19
5.00000000e+21 4762.12150122 4.1335817620e-19
5.00000000e+21 4785.18803984 3.7014113534e-19
5.00000000e+21 4792.92188634 3.5261348248e-19
5.00000000e+21 4800.63644841 3.3397155498e-19
1.00000000e+22 2803.66441501 1.6243674602e-20
1.00000000e+22 2804.47444502 5.1666052993e-20
1.00000000e+22 2805.47733907 6.4810393163e-20
1.00000000e+22 2810.47251998 6.9457105666e-20
1.00000000e+22 2831.47541226 8.9892092448e-20
1.00000000e+22 2834.98553406 9.2220173028e-20
1.00000000e+22 2838.97782092 9.3697649126e-20
1.00000000e+22 2841.98649816 9.3982983146e-20
1.00000000e+22 2844.97589096 9.3568238676e-20
1.00000000e+22 2848.48601769 9.2207426168e-20
1.00000000e+22 2851.97685505 8.9979103324e-20
1.00000000e+22 2855.48698178 8.6947221471e-20
1.00000000e+22 2859.47926864 8.2681235960e-20
1.00000000e+22 2866.48023273 7.4252020967e-20
1.00000000e+22 2872.97975226 6.7507455806e-20
1.00000000e+22 2876.47058963 6.5187701437e-20
1.00000000e+22 2878.97782230 6.4284052677e-20
1.00000000e+22 2881.48505497 6.4159785885e-20
1.00000000e+22 2883.47155372 6.4568991695e-20
1.00000000e+22 2885.47733690 6.5413331482e-20
1.00000000e+22 2888.48601907 6.7470144236e-20
1.00000000e+22 2891.97685643 7.0784794442e-20
1.00000000e+22 2911.97685466 9.4360430427e-20
1.00000000e+22 2917.97492962 1.0017983433e-19
1.00000000e+22 2924.97589372 1.0587414486e-19
1.00000000e+22 2933.98264099 1.1354344359e-19
1.00000000e+22 2938.47637241 1.1902282250e-19
1.00000000e+22 2943.47155333 1.2748590871e-19
1.00000000e+22 2949.97107286 1.4298224681e-19
1.00000000e+22 2958.97782013 1.7148008220e-19
1.00000000e+22 2968.48601690 2.0560099544e-19
1.00000000e+22 2975.98843048 2.3212734069e-19
1.00000000e+22 2983.97299927 2.5908685156e-19
1.00000000e+22 3005.97878560 3.4719721780e-19
1.00000000e+22 3021.48505241 4.3836587546e-19
1.00000000e+22 3031.47540931 5.0487198344e-19
1.00000000e+22 3038.97782289 5.5164115546e-19
1.00000000e+22 3046.98167611 5.9710460092e-19
1.00000000e+22 3061.98649835 6.8116653256e-19
1.00000000e+22 3075.48698198 7.7139159216e-19
1.00000000e+22 3095.96914033 9.3090971525e-19
1.00000000e+22 3112.97975068 1.0711046968e-18
1.00000000e+22 3148.48601572 1.4337802625e-18
1.00000000e+22 3165.97878620 1.6708180989e-18
1.00000000e+22 3195.96914132 2.1749785352e-18
1.00000000e+22 3229.97107266 2.8782177260e-18
1.00000000e+22 3337.97492687 6.8342973285e-18
1.00000000e+22 3381.98649954 9.5581126272e-18
1.00000000e+22 3405.97878462 1.1348068779e-17
1.00000000e+22 3423.97299966 1.2769752360e-17
1.00000000e+22 3440.48216052 1.4070817239e-17
1.00000000e+22 3461.48505280 1.5741960233e-17
1.00000000e+22 3517.28061707 2.1133429675e-17
1.00000000e+22 3583.78013620 3.0603725469e-17
1.00000000e+22 3732.07328787 7.1029797350e-17
1.00000000e+22 3793.77049014 9.9544941383e-17
1.00000000e+22 3858.78495509 1.4047499682e-16
1.00000000e+22 3938.37994039 2.1115911333e-16
1.00000000e+22 4000.17357469 2.8706694076e-16
1.00000000e+22 4106.38379913 4.8590863377e-16
1.00000000e+22 4143.97299493 5.9348446414e-16
1.00000000e+22 4171.16682623 6.9476305747e-16
1.00000000e+22 4186.76952506 7.6671478500e-16
1.00000000e+22 4212.26614876 9.0103546604e-16
1.00000000e+22 4218.37994019 9.2641740739e-16
1.00000000e+22 4224.16586174 9.4256152676e-16
1.00000000e+22 4230.37608520 9.4595470682e-16
1.00000000e+22 4233.77049054 9.4151993487e-16
1.00000000e+22 4237.37704929 9.3181075459e-16
1.00000000e+22 4241.27289919 9.1559764190e-16
1.00000000e+22 4245.28447048 8.9334743277e-16
1.00000000e+22 4249.46962139 8.6491769678e-16
1.00000000e+22 4257.28061549 8.0205043098e-16
1.00000000e+22 4266.38379972 7.2177752608e-16
1.00000000e+22 4278.28350777 6.1809667347e-16
1.00000000e+22 4297.56991295 4.7012015410e-16
1.00000000e+22 4312.20829152 3.7648726319e-16
1.00000000e+22 4329.12246492 2.8734480665e-16
1.00000000e+22 4374.21407924 1.3434183521e-16
1.00000000e+22 4406.55737677 7.7299246617e-17
1.00000000e+22 4459.63355495 3.2531561942e-17
1.00000000e+22 4481.25361318 2.3338192809e-17
1.00000000e+22 4510.24107918 1.5276842871e-17
1.00000000e+22 4546.73095383 9.2705786401e-18
1.00000000e+22 4611.05110524 4.0532474581e-18
1.00000000e+22 4644.06942696 2.6986866346e-18
1.00000000e+22 4674.11764524 1.9155474473e-18
1.00000000e+22 4696.77916639 1.5142307753e-18
1.00000000e+22 4718.45708285 1.2337764863e-18
1.00000000e+22 4741.33075742 1.0156000016e-18
1.00000000e+22 4762.12150122 8.6671266614e-19
1.00000000e+22 4777.47347777 7.7824518806e-19
1.00000000e+22 4800.63644841 6.6940705004e-19
5.00000000e+22 2599.98071655 2.2774191573e-18
5.00000000e+22 2632.97974891 3.0192004459e-18
5.00000000e+22 2665.97878620 3.9492861945e-18
5.00000000e+22 2696.97203537 5.0243563131e-18
5.00000000e+22 2730.47251722 6.4381858071e-18
5.00000000e+22 2764.47444856 8.1839916336e-18
