# Mg I 2852-A absolute cross sections recovered from Allard et al. 2018 A&A 619 A152 Fig. 6 vector paths
# T=6000 K; n_He=1e21,5e21,1e22 cm^-3; figure-resolution bridge
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
1.00000000e+22 2642.00000000 8.2109600556e-17
1.00000000e+22 2642.60000000 8.2973496941e-17
1.00000000e+22 2643.40000000 8.3992870595e-17
1.00000000e+22 2644.00000000 8.5024767797e-17
1.00000000e+22 2644.60000000 8.5919335412e-17
1.00000000e+22 2645.40000000 8.6974900262e-17
1.00000000e+22 2646.00000000 8.7889985726e-17
1.00000000e+22 2646.80000000 8.8969761066e-17
1.00000000e+22 2647.40000000 9.0062802021e-17
1.00000000e+22 2648.20000000 9.1010376100e-17
1.00000000e+22 2649.00000000 9.2128487099e-17
1.00000000e+22 2649.60000000 9.3097794786e-17
1.00000000e+22 2650.40000000 9.4241550837e-17
1.00000000e+22 2651.00000000 9.5233090615e-17
1.00000000e+22 2651.80000000 9.6403079914e-17
1.00000000e+22 2652.40000000 9.7417361699e-17
1.00000000e+22 2653.20000000 9.8614185933e-17
1.00000000e+22 2653.80000000 9.9651731338e-17
1.00000000e+22 2654.60000000 1.0087600599e-16
1.00000000e+22 2655.20000000 1.0193734859e-16
1.00000000e+22 2656.00000000 1.0318970328e-16
1.00000000e+22 2656.60000000 1.0427538889e-16
1.00000000e+22 2657.40000000 1.0555646764e-16
1.00000000e+22 2658.00000000 1.0666705459e-16
1.00000000e+22 2658.80000000 1.0778932631e-16
1.00000000e+22 2659.40000000 1.0911357566e-16
1.00000000e+22 2660.20000000 1.1026158787e-16
1.00000000e+22 2660.80000000 1.1161621027e-16
1.00000000e+22 2661.60000000 1.1279055334e-16
1.00000000e+22 2662.40000000 1.1417624543e-16
1.00000000e+22 2663.00000000 1.1537752330e-16
1.00000000e+22 2663.80000000 1.1659144012e-16
1.00000000e+22 2664.40000000 1.1802382813e-16
1.00000000e+22 2665.20000000 1.1926558741e-16
1.00000000e+22 2665.80000000 1.2073082875e-16
1.00000000e+22 2666.60000000 1.2200106908e-16
1.00000000e+22 2667.20000000 1.2328467394e-16
1.00000000e+22 2668.00000000 1.2479929190e-16
1.00000000e+22 2668.60000000 1.2611233759e-16
1.00000000e+22 2669.40000000 1.2766169491e-16
1.00000000e+22 2670.20000000 1.2900485668e-16
1.00000000e+22 2670.80000000 1.3036215021e-16
1.00000000e+22 2671.60000000 1.3196371873e-16
1.00000000e+22 2672.20000000 1.3335214322e-16
1.00000000e+22 2673.00000000 1.3499044540e-16
1.00000000e+22 2673.60000000 1.3641071486e-16
1.00000000e+22 2674.40000000 1.3808659323e-16
1.00000000e+22 2675.20000000 1.3953943806e-16
1.00000000e+22 2675.80000000 1.4100756865e-16
1.00000000e+22 2676.60000000 1.4273992182e-16
1.00000000e+22 2677.20000000 1.4424172552e-16
1.00000000e+22 2678.00000000 1.4601381204e-16
1.00000000e+22 2678.80000000 1.4755006119e-16
1.00000000e+22 2679.40000000 1.4936279237e-16
1.00000000e+22 2680.20000000 1.5093427701e-16
1.00000000e+22 2680.80000000 1.5278858509e-16
1.00000000e+22 2681.60000000 1.5439611338e-16
1.00000000e+22 2682.20000000 1.5629295197e-16
1.00000000e+22 2683.00000000 1.5793735061e-16
1.00000000e+22 2683.80000000 1.5987769518e-16
1.00000000e+22 2684.40000000 1.6155980984e-16
1.00000000e+22 2685.20000000 1.6354465826e-16
1.00000000e+22 2685.80000000 1.6526535399e-16
1.00000000e+22 2686.60000000 1.6729572698e-16
1.00000000e+22 2687.40000000 1.6905588868e-16
1.00000000e+22 2688.00000000 1.7113283042e-16
1.00000000e+22 2688.80000000 1.7293336327e-16
1.00000000e+22 2689.60000000 1.7505794185e-16
1.00000000e+22 2690.20000000 1.7689977182e-16
1.00000000e+22 2691.00000000 1.7907307985e-16
1.00000000e+22 2691.60000000 1.8095715412e-16
1.00000000e+22 2692.40000000 1.8318030925e-16
1.00000000e+22 2693.20000000 1.8510759676e-16
1.00000000e+22 2693.80000000 1.8738174229e-16
1.00000000e+22 2694.60000000 1.8968382691e-16
1.00000000e+22 2695.40000000 1.9167953960e-16
1.00000000e+22 2696.00000000 1.9403442496e-16
1.00000000e+22 2696.80000000 1.9607591142e-16
1.00000000e+22 2697.40000000 1.9848480855e-16
1.00000000e+22 2698.20000000 2.0092330026e-16
1.00000000e+22 2699.00000000 2.0303726637e-16
1.00000000e+22 2699.60000000 2.0553168745e-16
1.00000000e+22 2700.40000000 2.0769413959e-16
1.00000000e+22 2701.20000000 2.1024577284e-16
1.00000000e+22 2701.80000000 2.1245782310e-16
1.00000000e+22 2702.60000000 2.1506798075e-16
1.00000000e+22 2703.40000000 2.1733076671e-16
1.00000000e+22 2704.00000000 2.2000079106e-16
1.00000000e+22 2704.80000000 2.2270361809e-16
1.00000000e+22 2705.60000000 2.2504674056e-16
1.00000000e+22 2706.20000000 2.2741451564e-16
1.00000000e+22 2707.00000000 2.3020842423e-16
1.00000000e+22 2707.80000000 2.3263050672e-16
1.00000000e+22 2708.40000000 2.3548849653e-16
1.00000000e+22 2709.20000000 2.3796613203e-16
1.00000000e+22 2710.00000000 2.4046983537e-16
1.00000000e+22 2710.60000000 2.4342413552e-16
1.00000000e+22 2711.40000000 2.4598526393e-16
1.00000000e+22 2712.20000000 2.4857333864e-16
1.00000000e+22 2712.80000000 2.5118864315e-16
1.00000000e+22 2713.60000000 2.5383146396e-16
1.00000000e+22 2714.40000000 2.5650209057e-16
1.00000000e+22 2715.00000000 2.5920081553e-16
1.00000000e+22 2715.80000000 2.6192793448e-16
1.00000000e+22 2716.60000000 2.6468374616e-16
1.00000000e+22 2717.20000000 2.6700239164e-16
1.00000000e+22 2718.00000000 2.6981159299e-16
1.00000000e+22 2718.80000000 2.7265035068e-16
1.00000000e+22 2719.40000000 2.7503878409e-16
1.00000000e+22 2720.20000000 2.7744814033e-16
1.00000000e+22 2721.00000000 2.8036724411e-16
1.00000000e+22 2721.80000000 2.8282327797e-16
1.00000000e+22 2722.40000000 2.8530082684e-16
1.00000000e+22 2723.20000000 2.8780007918e-16
1.00000000e+22 2724.00000000 2.9032122513e-16
1.00000000e+22 2724.60000000 2.9286445646e-16
1.00000000e+22 2725.40000000 2.9491507296e-16
