obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"804.614"	""	"2.45e+05"	"2.37e-03"	"-1.847"	B	"103419.70"	"115844.60"	"2p6.5d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"5/2"		"c31"	""	
""	"804.634"	""	"3.42e+06"	"4.98e-02"	"-0.701"	B+	"103420.00"	"115844.60"	"2p6.5d"	"2D"	"3/2"	"2p6.9f"	"2F*"	"5/2"		"c31"	""	
"811.5220"	"811.5225"	"9"	"1.22e+06"	"8.05e-03"	"-1.316"	A	"93310.59"	"105629.72"	"2p6.4d"	"2D"	"5/2"	"2p6.6p"	"2P*"	"3/2"		"c31"	"L7414"	
""	"811.557"	""	"1.36e+05"	"1.35e-03"	"-2.268"	B+	"93311.11"	"105629.72"	"2p6.4d"	"2D"	"3/2"	"2p6.6p"	"2P*"	"3/2"		"c31"	""	
"812.0434"	"812.0432"	"8"	"1.34e+06"	"6.62e-03"	"-1.577"	A	"93311.11"	"105622.34"	"2p6.4d"	"2D"	"3/2"	"2p6.6p"	"2P*"	"1/2"		"c31"	"L7414"	
"821.3989"	"821.3987"	"10"	"2.65e+07"	"2.68e-01"	"-0.271"	A	"80619.50"	"92790.51"	"2p6.4p"	"2P*"	"1/2"	"2p6.5s"	"2S"	"1/2"		"c31,T6870"	"L7414"	
"823.4639"	"823.4636"	"11"	"5.29e+07"	"2.69e-01"	"0.032"	A	"80650.02"	"92790.51"	"2p6.4p"	"2P*"	"3/2"	"2p6.5s"	"2S"	"1/2"		"c31,T6870"	"L7414"	
""	"825.907"	""	"1.71e+05"	"1.16e-03"	"-2.157"	B	"103689.86"	"115794.44"	"2p6.5f"	"2F*"	"5/2"	"2p6.9d"	"2D"	"3/2"		"c31"	""	
""	"825.910"	""	"8.09e+03"	"8.28e-05"	"-3.304"	C+	"103689.86"	"115794.39"	"2p6.5f"	"2F*"	"5/2"	"2p6.9d"	"2D"	"5/2"		"c31"	""	
""	"825.914"	""	"1.62e+05"	"1.24e-03"	"-2.003"	B	"103689.92"	"115794.39"	"2p6.5f"	"2F*"	"7/2"	"2p6.9d"	"2D"	"5/2"		"c31"	""	
""	"854.322"	""	"8.70e+02"	"1.91e-05"	"-4.418"	C	"103196.75"	"114898.72"	"2p6.6s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	""	
""	"854.463"	""	"5.52e+02"	"6.04e-06"	"-4.918"	D+	"103196.75"	"114896.79"	"2p6.6s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"1/2"		"c31"	""	
""	"870.915"	""	"1.83e+05"	"1.39e-03"	"-2.079"	B	"103419.70"	"114898.72"	"2p6.5d"	"2D"	"5/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	""	
