obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"315.12687"	""	"1.8e+06"	"2.7e-03"	"-1.87"	D	"15315.943"	"47040.007"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"2"		"T539n"	""	
""	"315.16445"	""	"2.2e+05"	"2.0e-04"	"-3.01"	E	"15315.943"	"47036.225"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"1"		"T539n,LS"	""	
""	"316.46045"	""	"5.3e+05"	"2.4e-03"	"-2.62"	D	"15157.901"	"46748.283"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.9s"	"3S"	"1"		"T539n"	""	
""	"316.98388"	""	"2.0e+06"	"3.0e-03"	"-2.04"	D	"15210.063"	"46748.283"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.9s"	"3S"	"1"		"T539n"	""	
"318.052"	"318.05168"	"5"	"2.9e+06"	"2.6e-03"	"-1.88"	D	"15315.943"	"46748.283"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.9s"	"3S"	"1"		"T539n"	"L6097"	
"320.996"	"320.99566"	"7"	"7.3e+06"	"3.4e-02"	"-1.47"	D	"15157.901"	"46301.973"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.7d"	"3D"	"1"		"T539n"	"L6097"	
"321.517"	"321.51687"	"8"	"1.1e+07"	"2.8e-02"	"-1.07"	D	"15210.063"	"46303.649"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.7d"	"3D"	"2"		"T539n"	"L6097"	
"321.534"	"321.53420"	"6"	"5.1e+06"	"7.9e-03"	"-1.62"	D	"15210.063"	"46301.973"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.7d"	"3D"	"1"		"T539n"	"L6097"	
"322.590"	"322.59039"	"9"	"1.6e+07"	"3.5e-02"	"-0.76"	D	"15315.943"	"46306.059"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.7d"	"3D"	"3"		"T539n"	"L6097"	
"322.615"	"322.61548"	"6"	"4.0e+06"	"6.2e-03"	"-1.51"	D	"15315.943"	"46303.649"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.7d"	"3D"	"2"		"T539n"	"L6097"	
""	"322.63293"	""	"4.2e+05"	"3.9e-04"	"-2.71"	E	"15315.943"	"46301.973"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.7d"	"3D"	"1"		"T539n,LS"	""	
""	"326.90851"	""	"9.4e+05"	"4.5e-03"	"-2.34"	D	"15157.901"	"45738.684"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.8s"	"3S"	"1"		"T539n"	""	
"327.467"	"327.46709"	"5"	"3.0e+06"	"4.8e-03"	"-1.84"	D	"15210.063"	"45738.684"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.8s"	"3S"	"1"		"T539n"	"L6097"	
"328.607"	"328.60681"	"6"	"5.3e+06"	"5.2e-03"	"-1.59"	D	"15315.943"	"45738.684"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8s"	"3S"	"1"		"T539n"	"L6097"	
"334.451"	"334.45078"	"10"	"1.51e+07"	"7.60e-02"	"-1.119"	C	"15157.901"	"45049.073"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.6d"	"3D"	"1"		"T539n,T654n"	"L6097"	
"335.021"	"335.02035"	"11"	"1.78e+07"	"4.99e-02"	"-0.824"	C	"15210.063"	"45050.419"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.6d"	"3D"	"2"		"T539n,T654n"	"L6097"	
"335.036"	"335.03546"	"9"	"1.11e+07"	"1.87e-02"	"-1.251"	C	"15210.063"	"45049.073"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.6d"	"3D"	"1"		"T539n,T654n"	"L6097"	
"336.192"	"336.19124"	"12"	"2.23e+07"	"5.29e-02"	"-0.577"	C	"15315.943"	"45052.374"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.6d"	"3D"	"3"		"T539n,T654n"	"L6097"	
"336.214"	"336.21334"	"9"	"6.5e+06"	"1.1e-02"	"-1.26"	C	"15315.943"	"45050.419"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.6d"	"3D"	"2"		"T539n,T654n"	"L6097"	
""	"336.22856"	""	"5.9e+05"	"6.0e-04"	"-2.52"	C	"15315.943"	"45049.073"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.6d"	"3D"	"1"		"T654n"	""	
"346.848"	"346.84744"	"9"	"1.3e+06"	"7.0e-03"	"-2.15"	D	"15157.901"	"43980.767"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.7s"	"3S"	"1"		"T539n"	"L6097"	
"347.476"	"347.47630"	"11"	"4.6e+06"	"8.3e-03"	"-1.60"	D	"15210.063"	"43980.767"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.7s"	"3S"	"1"		"T539n"	"L6097"	
"348.760"	"348.75982"	"13"	"7.8e+06"	"8.5e-03"	"-1.37"	D	"15315.943"	"43980.767"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.7s"	"3S"	"1"		"T539n"	"L6097"	
"362.411"	"362.41120"	"15"	"2.12e+07"	"1.25e-01"	"-0.902"	C+	"15157.901"	"42743.002"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.5d"	"3D"	"1"		"T539n,T654n,LS"	"L6097"	
"363.075"	"363.07522"	"17"	"2.97e+07"	"9.79e-02"	"-0.532"	C+	"15210.063"	"42744.716"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.5d"	"3D"	"2"		"T539n,T654n,LS"	"L6097"	
"363.097"	"363.09782"	"14"	"1.53e+07"	"3.03e-02"	"-1.042"	C+	"15210.063"	"42743.002"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.5d"	"3D"	"1"		"T539n,T654n,LS"	"L6097"	
"364.441"	"364.44130"	"20"	"3.55e+07"	"9.90e-02"	"-0.305"	C+	"15315.943"	"42747.387"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.5d"	"3D"	"3"		"T539n,T654n,LS"	"L6097"	
"364.477"	"364.47679"	"14"	"9.4e+06"	"1.9e-02"	"-1.03"	C+	"15315.943"	"42744.716"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.5d"	"3D"	"2"		"T539n,T654n,LS"	"L6097"	
"364.499"	"364.49957"	"8"	"9.5e+05"	"1.1e-03"	"-2.25"	C+	"15315.943"	"42743.002"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.5d"	"3D"	"1"		"T539n,T654n,LS"	"L6097"	
""	"367.34179"	""	"2.2e+06"	"7.4e-03"	"-1.65"	D	"20335.360"	"47550.214"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.8f"	"3F*"	"2"		"T539n"	""	
"367.529"	"367.52874"	"5"	"2.2e+06"	"6.2e-03"	"-1.51"	D	"20349.260"	"47550.271"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.8f"	"3F*"	"3"		"T539n,LS"	"L6097"	
""	"367.52951"	""	"3.8e+05"	"7.7e-04"	"-2.41"	D	"20349.260"	"47550.214"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.8f"	"3F*"	"2"		"T539n,LS"	""	
"367.821"	"367.82137"	"6"	"2.3e+06"	"6.0e-03"	"-1.38"	D	"20371.000"	"47550.371"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.8f"	"3F*"	"4"		"T539n,LS"	"L6097"	
""	"367.82272"	""	"2.6e+05"	"5.3e-04"	"-2.43"	D	"20371.000"	"47550.271"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.8f"	"3F*"	"3"		"T539n,LS"	""	
""	"367.82350"	""	"1.0e+04"	"1.4e-05"	"-3.99"	E	"20371.000"	"47550.214"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.8f"	"3F*"	"2"		"T654"	""	
"374.835"	"374.83486"	"6"	"3.4e+06"	"1.2e-02"	"-1.45"	D	"20335.360"	"47006.194"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.7f"	"3F*"	"2"		"T539n,LS"	"L6097"	
"375.029"	"375.02911"	"8"	"3.4e+06"	"1.0e-02"	"-1.30"	D	"20349.260"	"47006.280"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.7f"	"3F*"	"3"		"T539n,LS"	"L6097"	
""	"375.03032"	""	"6.2e+05"	"1.3e-03"	"-2.18"	D	"20349.260"	"47006.194"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.7f"	"3F*"	"2"		"T539n,LS"	""	
"375.334"	"375.33353"	"9"	"4.1e+06"	"1.1e-02"	"-1.11"	D	"20371.000"	"47006.400"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.7f"	"3F*"	"4"		"T539n,LS"	"L6097"	
""	"375.33522"	""	"4.4e+05"	"9.3e-04"	"-2.19"	D	"20371.000"	"47006.280"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.7f"	"3F*"	"3"		"T539n,LS"	""	
""	"375.33643"	""	"1.7e+04"	"2.6e-05"	"-3.75"	E	"20371.000"	"47006.194"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.7f"	"3F*"	"2"		"T654"	""	
"387.048"	"387.04774"	"9"	"7.2e+06"	"2.7e-02"	"-1.09"	D	"20335.360"	"46164.644"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.6f"	"3F*"	"2"		"T539n"	"L6097"	
"387.254"	"387.25403"	"11"	"5.4e+06"	"1.7e-02"	"-1.07"	D	"20349.260"	"46164.785"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.6f"	"3F*"	"3"		"T539n,LS"	"L6097"	
"387.256"	"387.25615"	"11"	"9.8e+05"	"2.2e-03"	"-1.96"	D	"20349.260"	"46164.644"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.6f"	"3F*"	"2"		"T539n,LS"	"L6097"	
"387.578"	"387.57764"	"12"	"7.9e+06"	"2.3e-02"	"-0.80"	D	"20371.000"	"46164.971"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.6f"	"3F*"	"4"		"T539n,LS"	"L6097"	
"387.580"	"387.58043"	"12"	"8.9e+05"	"2.0e-03"	"-1.85"	D	"20371.000"	"46164.785"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.6f"	"3F*"	"3"		"T539n,LS"	"L6097"	
""	"387.58255"	""	"3.5e+04"	"5.6e-05"	"-3.40"	E	"20371.000"	"46164.644"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.6f"	"3F*"	"2"		"T654"	""	
"394.890"	"394.89004"	"15"	"3.34e+06"	"2.34e-02"	"-1.630"	C	"15157.901"	"40474.241"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.6s"	"3S"	"1"		"T539n,T654n"	"L6097"	
"395.705"	"395.70537"	"17"	"9.8e+06"	"2.3e-02"	"-1.16"	C	"15210.063"	"40474.241"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.6s"	"3S"	"1"		"T539n,T654n"	"L6097"	
"397.371"	"397.37076"	"18"	"1.75e+07"	"2.49e-02"	"-0.905"	C	"15315.943"	"40474.241"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.6s"	"3S"	"1"		"T539n,T654n"	"L6097"	
""	"409.26318"	""	"1.1e+07"	"4.6e-02"	"-0.86"	D	"20335.360"	"44762.620"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.5f"	"3F*"	"2"		"T539n"	""	
""	"409.49253"	""	"1.2e+07"	"4.2e-02"	"-0.68"	D	"20349.260"	"44762.839"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.5f"	"3F*"	"3"		"T539n"	""	
""	"409.49621"	""	"2.1e+06"	"5.3e-03"	"-1.58"	D	"20349.260"	"44762.620"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.5f"	"3F*"	"2"		"T539n,LS"	""	
"409.853"	"409.85282"	"15"	"1.3e+07"	"4.2e-02"	"-0.53"	D	"20371.000"	"44763.118"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.5f"	"3F*"	"4"		"T539n"	"L6097"	
"409.857"	"409.85751"	"15"	"1.5e+06"	"3.8e-03"	"-1.58"	D	"20371.000"	"44762.839"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.5f"	"3F*"	"3"		"T539n,LS"	"L6097"	
""	"409.86119"	""	"5.8e+04"	"1.0e-04"	"-3.14"	E	"20371.000"	"44762.620"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.5f"	"3F*"	"2"		"T654"	""	
""	"410.85257"	""	"9.0e+07"	"3.2e-01"	"0.20"	D	"21849.634"	"46182.399"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.6f"	"1F*"	"3"		"T539n"	""	
"422.673"	"422.67276"	"50"	"2.18e+08"	"1.75e+00"	"0.244"	B+	"0.000"	"23652.304"	"3p6.4s2"	"1S"	"0"	"3p6.4s.4p"	"1P*"	"1"		"T876,T1110,T859"	"L6097"	
"428.301"	"428.3011"	"24"	"4.34e+07"	"1.99e-01"	"-0.224"	C+	"15210.063"	"38551.558"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4p2"	"3P"	"2"		"T539n,T654n,LS"	"L6097"	
"428.936"	"428.9367"	"22"	"6.0e+07"	"5.0e-01"	"-0.30"	C+	"15157.901"	"38464.808"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4p2"	"3P"	"1"		"T539n,T654n,LS"	"L6097"	
"429.899"	"429.8988"	"22"	"4.66e+07"	"1.29e-01"	"-0.412"	C+	"15210.063"	"38464.808"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4p2"	"3P"	"1"		"T539n,T654n,LS"	"L6097"	
"430.253"	"430.2528"	"25"	"1.36e+08"	"3.78e-01"	"0.276"	C+	"15315.943"	"38551.558"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4p2"	"3P"	"2"		"T539n,T654n,LS"	"L6097"	
"430.774"	"430.7744"	"23"	"1.99e+08"	"1.85e-01"	"-0.257"	C+	"15210.063"	"38417.543"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4p2"	"3P"	"0"		"T539n,T654n,LS"	"L6097"	
"431.865"	"431.8652"	"22"	"7.4e+07"	"1.2e-01"	"-0.21"	C+	"15315.943"	"38464.808"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4p2"	"3P"	"1"		"T539n,T654n,LS"	"L6097"	
"435.508"	"435.5079"	"20"	"1.9e+07"	"7.6e-02"	"-0.42"	D	"21849.634"	"44804.878"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.5f"	"1F*"	"3"		"T539n"	"L6097"	
