obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"421.613"	"0.002"	"421.60610"	"0.00004"	""	"4.20e+04"	"1.12e-04"	"-3.35"	B	"16973.36619"	"[40685.509]"	"2p6.3p"	"2P*"	"3/2"	"2p6.12d"	"2D"	"3/2"		"T7799"	"L9493"	
"421.613"	"0.002"	"421.60610"	"0.00004"	""	"2.52e+05"	"1.01e-03"	"-2.39"	B	"16973.36619"	"[40685.509]"	"2p6.3p"	"2P*"	"3/2"	"2p6.12d"	"2D"	"5/2"		"T7799"	"L9493"	
"422.381"	"0.002"	"422.39634"	"0.00004"	""	"1.40e+05"	"1.87e-04"	"-3.13"	B	"16973.36619"	"[40641.148]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13s"	"2S"	"1/2"		"T7799"	"L9493"	
"424.2082"	"0.0008"	"424.20759"	"0.00004"	"3*"	"5.54e+04"	"1.50e-04"	"-3.22"	B	"16973.36619"	"[40540.095]"	"2p6.3p"	"2P*"	"3/2"	"2p6.11d"	"2D"	"3/2"		"T7799"	"L6096"	
"424.2082"	"0.0008"	"424.20763"	"0.00004"	"3*"	"3.32e+05"	"1.34e-03"	"-2.27"	B	"16973.36619"	"[40540.093]"	"2p6.3p"	"2P*"	"3/2"	"2p6.11d"	"2D"	"5/2"		"T7799"	"L6096"	
"425.2520"	"0.0008"	"425.25165"	"0.00004"	"2"	"1.84e+05"	"2.50e-04"	"-3.00"	B	"16973.36619"	"40482.236"	"2p6.3p"	"2P*"	"3/2"	"2p6.12s"	"2S"	"1/2"		"T7799"	"L6096"	
"425.38"	"0.02"	"425.376"	"0.013"	"17"	"5.e+06"	"2.e-02"	"-1"	D	"268897.4"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"427.3642"	"0.0008"	"427.36265"	"0.00004"	"4"	"3.91e+05"	"2.14e-03"	"-2.368"	C	"16956.17025"	"40348.918"	"2p6.3p"	"2P*"	"1/2"	"2p6.10d"	"2D"	"3/2"		"c58,LS"	"L6096"	
"427.39"	"0.02"	"427.380"	"0.013"	"23"	"1.6e+07"	"4.4e-02"	"-0.75"	D	"268897.4"	"292289.2"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"427.6787"	"0.0008"	"427.67704"	"0.00004"	"5*"	"7.8e+04"	"2.1e-04"	"-3.07"	C	"16973.36619"	"40348.918"	"2p6.3p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"3/2"		"c58,LS"	"L6096"	
"427.6787"	"0.0008"	"427.67709"	"0.00004"	"5*"	"4.69e+05"	"1.93e-03"	"-2.112"	C	"16973.36619"	"40348.915"	"2p6.3p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"5/2"		"c58,LS"	"L6096"	
"428.67"	"0.02"	"428.655"	"0.013"	"46"	"2.8e+07"	"3.9e-02"	"-0.81"	D	"268897.4"	"292219.6"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"1/2"		"T5209"	"L6269"	
"429.1006"	"0.0008"	"429.10012"	"0.00004"	"3"	"2.47e+05"	"3.41e-04"	"-2.87"	B	"16973.36619"	"40271.396"	"2p6.3p"	"2P*"	"3/2"	"2p6.11s"	"2S"	"1/2"		"T7799"	"L6096"	
