obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"465.4117"	""	"4.30e+05"	"4.66e-04"	"-2.855"	C	"86625.757"	"108106.094"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).8d"	"5D*"	"0"		"T5713LS"	""	
""	"465.4118"	""	"3.23e+05"	"1.05e-03"	"-2.502"	C+	"86625.757"	"108106.091"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).8d"	"5D*"	"1"		"T5713LS"	""	
""	"465.4119"	""	"1.51e+05"	"8.18e-04"	"-2.610"	C+	"86625.757"	"108106.085"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).8d"	"5D*"	"2"		"T5713LS"	""	
""	"465.4556"	""	"1.08e+05"	"2.11e-04"	"-2.978"	C	"86627.778"	"108106.091"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).8d"	"5D*"	"1"		"T5713LS"	""	
""	"465.4557"	""	"2.51e+05"	"8.16e-04"	"-2.389"	C+	"86627.778"	"108106.085"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).8d"	"5D*"	"2"		"T5713LS"	""	
""	"465.4559"	""	"2.87e+05"	"1.31e-03"	"-2.185"	C+	"86627.778"	"108106.077"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).8d"	"5D*"	"3"		"T5713LS"	""	
""	"465.5354"	""	"2.87e+04"	"6.66e-05"	"-3.331"	C	"86631.454"	"108106.085"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).8d"	"5D*"	"2"		"T5713LS"	""	
""	"465.5356"	""	"1.43e+05"	"4.65e-04"	"-2.488"	C+	"86631.454"	"108106.077"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).8d"	"5D*"	"3"		"T5713LS"	""	
""	"465.5357"	""	"4.30e+05"	"1.80e-03"	"-1.900"	C+	"86631.454"	"108106.072"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).8d"	"5D*"	"4"		"T5713LS"	""	
""	"477.2448"	""	"7.00e+05"	"7.97e-04"	"-2.621"	C+	"86625.757"	"107573.508"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).7d"	"5D*"	"0"		"T5713LS"	""	
""	"477.2449"	""	"5.25e+05"	"1.79e-03"	"-2.269"	C+	"86625.757"	"107573.504"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).7d"	"5D*"	"1"		"T5713LS"	""	
""	"477.2451"	""	"2.45e+05"	"1.40e-03"	"-2.378"	C+	"86625.757"	"107573.495"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).7d"	"5D*"	"2"		"T5713LS"	""	
""	"477.2909"	""	"1.75e+05"	"3.59e-04"	"-2.746"	C+	"86627.778"	"107573.504"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).7d"	"5D*"	"1"		"T5713LS"	""	
""	"477.2911"	""	"4.08e+05"	"1.39e-03"	"-2.157"	C+	"86627.778"	"107573.495"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).7d"	"5D*"	"2"		"T5713LS"	""	
""	"477.2914"	""	"4.67e+05"	"2.23e-03"	"-1.952"	C+	"86627.778"	"107573.484"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).7d"	"5D*"	"3"		"T5713LS"	""	
""	"477.3749"	""	"4.66e+04"	"1.14e-04"	"-3.099"	C	"86631.454"	"107573.495"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).7d"	"5D*"	"2"		"T5713LS"	""	
""	"477.3752"	""	"2.33e+05"	"7.96e-04"	"-2.254"	C+	"86631.454"	"107573.484"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).7d"	"5D*"	"3"		"T5713LS"	""	
""	"477.3753"	""	"7.00e+05"	"3.08e-03"	"-1.667"	C+	"86631.454"	"107573.476"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).7d"	"5D*"	"4"		"T5713LS"	""	
""	"480.1667"	""	"2.62e+05"	"1.51e-03"	"-2.344"	C+	"86625.757"	"107446.036"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).8s"	"5S*"	"2"		"T5713LS"	""	
""	"480.2134"	""	"4.37e+05"	"1.51e-03"	"-2.122"	C+	"86627.778"	"107446.036"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).8s"	"5S*"	"2"		"T5713LS"	""	
""	"480.2982"	""	"6.11e+05"	"1.51e-03"	"-1.976"	C+	"86631.454"	"107446.036"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).8s"	"5S*"	"2"		"T5713LS"	""	
""	"496.7376"	""	"1.27e+06"	"1.57e-03"	"-2.328"	C+	"86625.757"	"106751.494"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).6d"	"5D*"	"0"		"T5713LS"	""	
""	"496.7378"	""	"9.50e+05"	"3.52e-03"	"-1.977"	C+	"86625.757"	"106751.487"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).6d"	"5D*"	"1"		"T5713LS"	""	
""	"496.7381"	""	"4.43e+05"	"2.73e-03"	"-2.086"	C+	"86625.757"	"106751.474"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).6d"	"5D*"	"2"		"T5713LS"	""	
""	"496.7877"	""	"3.16e+05"	"7.02e-04"	"-2.455"	C+	"86627.778"	"106751.487"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).6d"	"5D*"	"1"		"T5713LS"	""	
""	"496.7880"	""	"7.38e+05"	"2.73e-03"	"-1.865"	C+	"86627.778"	"106751.474"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).6d"	"5D*"	"2"		"T5713LS"	""	
""	"496.7884"	""	"8.44e+05"	"4.37e-03"	"-1.660"	C+	"86627.778"	"106751.458"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).6d"	"5D*"	"3"		"T5713LS"	""	
""	"496.8788"	""	"8.43e+04"	"2.23e-04"	"-2.807"	C	"86631.454"	"106751.474"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).6d"	"5D*"	"2"		"T5713LS"	""	
""	"496.8791"	""	"4.22e+05"	"1.56e-03"	"-1.961"	C+	"86631.454"	"106751.458"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).6d"	"5D*"	"3"		"T5713LS"	""	
""	"496.8794"	""	"1.27e+06"	"6.05e-03"	"-1.373"	C+	"86631.454"	"106751.447"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).6d"	"5D*"	"4"		"T5713LS"	""	
""	"501.8782"	""	"4.28e+05"	"2.70e-03"	"-2.092"	C+	"86625.757"	"106545.354"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).7s"	"5S*"	"2"		"T5713LS"	""	
""	"501.9291"	""	"7.13e+05"	"2.69e-03"	"-1.871"	C+	"86627.778"	"106545.354"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).7s"	"5S*"	"2"		"T5713LS"	""	
""	"502.0218"	""	"9.98e+05"	"2.69e-03"	"-1.724"	C+	"86631.454"	"106545.354"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).7s"	"5S*"	"2"		"T5713LS"	""	
""	"513.114"	""	"7.48e+04"	"4.92e-04"	"-2.831"	C	"88630.587"	"108114.0"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(4S*).8d"	"3D*"	"2"		"T5713LS"	""	
""	"513.114"	""	"4.16e+04"	"1.64e-04"	"-3.307"	C	"88630.587"	"108114.0"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(4S*).8d"	"3D*"	"1"		"T5713LS"	""	
""	"513.129"	""	"9.98e+04"	"5.52e-04"	"-2.559"	C+	"88631.146"	"108114.0"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).8d"	"3D*"	"3"		"T5713LS"	""	
""	"513.129"	""	"2.49e+04"	"9.83e-05"	"-3.308"	C	"88631.146"	"108114.0"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).8d"	"3D*"	"2"		"T5713LS"	""	
""	"513.129"	""	"2.77e+03"	"6.56e-06"	"-4.484"	D	"88631.146"	"108114.0"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).8d"	"3D*"	"1"		"T5713LS"	""	
""	"513.133"	""	"5.54e+04"	"6.56e-04"	"-3.183"	C	"88631.303"	"108114.0"	"2s2.2p3.(4S*).3p"	"3P"	"0"	"2s2.2p3.(4S*).8d"	"3D*"	"1"		"T5713LS"	""	
""	"527.4967"	""	"1.32e+05"	"9.18e-04"	"-2.560"	C+	"88630.587"	"107582.777"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(4S*).7d"	"3D*"	"2"		"T5713LS"	""	
""	"527.4967"	""	"7.34e+04"	"3.06e-04"	"-3.037"	C	"88630.587"	"107582.777"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(4S*).7d"	"3D*"	"1"		"T5713LS"	""	
""	"527.5123"	""	"1.76e+05"	"1.03e-03"	"-2.289"	C+	"88631.146"	"107582.777"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).7d"	"3D*"	"3"		"T5713LS"	""	
""	"527.5123"	""	"4.40e+04"	"1.84e-04"	"-3.037"	C	"88631.146"	"107582.777"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).7d"	"3D*"	"2"		"T5713LS"	""	
""	"527.5123"	""	"4.89e+03"	"1.22e-05"	"-4.213"	D	"88631.146"	"107582.777"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).7d"	"3D*"	"1"		"T5713LS"	""	
""	"527.5166"	""	"9.78e+04"	"1.22e-03"	"-2.912"	C	"88631.303"	"107582.777"	"2s2.2p3.(4S*).3p"	"3P"	"0"	"2s2.2p3.(4S*).7d"	"3D*"	"1"		"T5713LS"	""	
""	"529.8887"	""	"3.58e+05"	"1.51e-03"	"-2.345"	C+	"88630.587"	"107497.224"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(4S*).8s"	"3S*"	"1"		"T5713LS"	""	
""	"529.9044"	""	"5.96e+05"	"1.51e-03"	"-2.123"	C+	"88631.146"	"107497.224"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).8s"	"3S*"	"1"		"T5713LS"	""	
""	"529.9088"	""	"1.19e+05"	"1.50e-03"	"-2.823"	C	"88631.303"	"107497.224"	"2s2.2p3.(4S*).3p"	"3P"	"0"	"2s2.2p3.(4S*).8s"	"3S*"	"1"		"T5713LS"	""	
